cine,pelicula,fecha,hora,formato,idioma,duracion_min,clasificacion,poster,link_compra,sinopsis,trailer,generos,credito
Cineplanet Alameda,JUAN GABRIEL: MI PRIMER BELLAS ARTES,2026-09-02,15:40,2D,doblada,110,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001883?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/juan-gabriel-mi-primer-bellas-artes,"*Versión Sing Along* El concierto más icónico de México llega a la pantalla grande. A partir del 28 de agosto, con motivo del 10.º aniversario luctuoso de Juan Gabriel, disfruta del histórico primer concierto de Juan Gabriel en el Palacio de Bellas Artes en 1990, una noche que transformó para siempre la música en México. Más de tres décadas después, esta presentación legendaria revive en una nueva reedición especial para cines con imagen y audio restaurados, donde cada interpretación, cada aplauso y cada instante recuperan su esplendor para que nuevas generaciones y admiradores de siempre puedan disfrutar de este acontecimiento con una calidad nunca antes vista. Celebra el legado de Juan Gabriel y revive el espectáculo que marcó un antes y un después en la historia de la música mexicana, ahora como una experiencia cinematográfica única e inolvidable.",https://www.youtube.com/watch?v=zq9V3eaio2Y,CONCIERTO,
Cineplanet Alameda,COYOTE VS ACME,2026-09-02,16:20,2D,doblada,103,TE,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001852?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/coyote-vs-acme,"Después de que todos los productos fabricados por ACME Corporation le salgan mal a Wile E. Coyote, en su persecución del Correcaminos, contrata a un abogado humano igualmente desafortunado para demandar a la empresa. Cuando el abogado de Wile E. descubre que el intimidante jefe de su antiguo bufete es el director general de ACME, se une a Wile E. para ganar el juicio contra él.",https://www.youtube.com/watch?v=V_ueAlyvn6A,FAMILIAR,
Cineplanet Alameda,LA GUERRA DE LOS ÚLTIMOS,2026-09-02,16:30,2D,doblada,118,,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001869?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/la-guerra-de-los-ltimos,"En un mundo postapocalíptico, un virus aniquila a prácticamente toda la humanidad. Los supervivientes se enfrentan a unos carroñeros errantes llamados ""Segadores"". El protagonista, Hig, un piloto, sobrevivió a la gripe pero perdió a su mujer. Adaptación de la aclamada novela ""La constelación del perro"", de Peter Heller.",https://www.youtube.com/watch?v=JZHY6oGCO58,CIENCIA FICCION,
Cineplanet Alameda,LA NOCHE DEL DEMONIO: ESTÁN ENTRE NOSOTROS,2026-09-02,17:00,2D,doblada,106,+14,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001857?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/la-noche-del-demonio-estn-entre-nosotros,"Gemma, una joven madre que cría a su hija en la casa en la que creció, descubre que puede viajar a The Further, donde posee la capacidad de traer lo que allí vive de vuelta al mundo real.",https://www.youtube.com/watch?v=fuxeEUqCNac,TERROR,
Cineplanet Alameda,PAPI RICKY: LA PELÍCULA,2026-09-02,17:20,2D,doblada,104,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001900?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/papi-ricky-la-pelcula,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hípster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://youtu.be/Nr17OlZAkBc?si=FPiN8DOfV6jCR5MI,COMEDIA,
Cineplanet Alameda,COYOTE VS ACME,2026-09-02,17:40,2D,doblada,103,TE,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001852?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/coyote-vs-acme,"Después de que todos los productos fabricados por ACME Corporation le salgan mal a Wile E. Coyote, en su persecución del Correcaminos, contrata a un abogado humano igualmente desafortunado para demandar a la empresa. Cuando el abogado de Wile E. descubre que el intimidante jefe de su antiguo bufete es el director general de ACME, se une a Wile E. para ganar el juicio contra él.",https://www.youtube.com/watch?v=V_ueAlyvn6A,FAMILIAR,
Cineplanet Alameda,JUAN GABRIEL: MI PRIMER BELLAS ARTES,2026-09-02,18:00,2D,doblada,110,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001883?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/juan-gabriel-mi-primer-bellas-artes,"*Versión Sing Along* El concierto más icónico de México llega a la pantalla grande. A partir del 28 de agosto, con motivo del 10.º aniversario luctuoso de Juan Gabriel, disfruta del histórico primer concierto de Juan Gabriel en el Palacio de Bellas Artes en 1990, una noche que transformó para siempre la música en México. Más de tres décadas después, esta presentación legendaria revive en una nueva reedición especial para cines con imagen y audio restaurados, donde cada interpretación, cada aplauso y cada instante recuperan su esplendor para que nuevas generaciones y admiradores de siempre puedan disfrutar de este acontecimiento con una calidad nunca antes vista. Celebra el legado de Juan Gabriel y revive el espectáculo que marcó un antes y un después en la historia de la música mexicana, ahora como una experiencia cinematográfica única e inolvidable.",https://www.youtube.com/watch?v=zq9V3eaio2Y,CONCIERTO,
Cineplanet Alameda,SPIDER-MAN: UN NUEVO DIA,2026-09-02,18:20,2D,doblada,145,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001843?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/spider-man-un-nuevo-dia,"Han pasado cuatro años desde los acontecimientos de No Way Home, y Peter es ahora un adulto que vive completamente solo, habiéndose borrado voluntariamente de las vidas y recuerdos de aquellos a quienes ama. Lucha contra el crimen en un Nueva York que ya no conoce su nombre, se ha dedicado por completo a proteger su ciudad -un Spider-Man de tiempo completo- pero a medida que las exigencias sobre él se intensifican, la presión desata una sorprendente evolución física que amenaza su existencia, aun cuando un nuevo y extraño patrón de crímenes da lugar a una de las amenazas más poderosas que jamás haya enfrentado.",https://www.youtube.com/watch?v=3B1_P2h7v2k,ACCION,
Cineplanet Alameda,COYOTE VS ACME,2026-09-02,18:40,2D,doblada,103,TE,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001852?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/coyote-vs-acme,"Después de que todos los productos fabricados por ACME Corporation le salgan mal a Wile E. Coyote, en su persecución del Correcaminos, contrata a un abogado humano igualmente desafortunado para demandar a la empresa. Cuando el abogado de Wile E. descubre que el intimidante jefe de su antiguo bufete es el director general de ACME, se une a Wile E. para ganar el juicio contra él.",https://www.youtube.com/watch?v=V_ueAlyvn6A,FAMILIAR,
Cineplanet Alameda,LA GUERRA DE LOS ÚLTIMOS,2026-09-02,19:00,2D,doblada,118,,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001869?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/la-guerra-de-los-ltimos,"En un mundo postapocalíptico, un virus aniquila a prácticamente toda la humanidad. Los supervivientes se enfrentan a unos carroñeros errantes llamados ""Segadores"". El protagonista, Hig, un piloto, sobrevivió a la gripe pero perdió a su mujer. Adaptación de la aclamada novela ""La constelación del perro"", de Peter Heller.",https://www.youtube.com/watch?v=JZHY6oGCO58,CIENCIA FICCION,
Cineplanet Alameda,LA NOCHE DEL DEMONIO: ESTÁN ENTRE NOSOTROS,2026-09-02,19:20,2D,doblada,106,+14,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001857?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/la-noche-del-demonio-estn-entre-nosotros,"Gemma, una joven madre que cría a su hija en la casa en la que creció, descubre que puede viajar a The Further, donde posee la capacidad de traer lo que allí vive de vuelta al mundo real.",https://www.youtube.com/watch?v=fuxeEUqCNac,TERROR,
Cineplanet Alameda,PAPI RICKY: LA PELÍCULA,2026-09-02,19:40,2D,doblada,104,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001900?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/papi-ricky-la-pelcula,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hípster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://youtu.be/Nr17OlZAkBc?si=FPiN8DOfV6jCR5MI,COMEDIA,
Cineplanet Alameda,SPIDER-MAN: UN NUEVO DIA,2026-09-02,20:00,2D,doblada,145,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001843?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/spider-man-un-nuevo-dia,"Han pasado cuatro años desde los acontecimientos de No Way Home, y Peter es ahora un adulto que vive completamente solo, habiéndose borrado voluntariamente de las vidas y recuerdos de aquellos a quienes ama. Lucha contra el crimen en un Nueva York que ya no conoce su nombre, se ha dedicado por completo a proteger su ciudad -un Spider-Man de tiempo completo- pero a medida que las exigencias sobre él se intensifican, la presión desata una sorprendente evolución física que amenaza su existencia, aun cuando un nuevo y extraño patrón de crímenes da lugar a una de las amenazas más poderosas que jamás haya enfrentado.",https://www.youtube.com/watch?v=3B1_P2h7v2k,ACCION,
Cineplanet Alameda,PAPI RICKY: LA PELÍCULA,2026-09-02,20:30,2D,doblada,104,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001900?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/papi-ricky-la-pelcula,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hípster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://youtu.be/Nr17OlZAkBc?si=FPiN8DOfV6jCR5MI,COMEDIA,
Cineplanet Alameda,COYOTE VS ACME,2026-09-02,21:00,2D,doblada,103,TE,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001852?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/coyote-vs-acme,"Después de que todos los productos fabricados por ACME Corporation le salgan mal a Wile E. Coyote, en su persecución del Correcaminos, contrata a un abogado humano igualmente desafortunado para demandar a la empresa. Cuando el abogado de Wile E. descubre que el intimidante jefe de su antiguo bufete es el director general de ACME, se une a Wile E. para ganar el juicio contra él.",https://www.youtube.com/watch?v=V_ueAlyvn6A,FAMILIAR,
Cineplanet Alameda,SPIDER-MAN: UN NUEVO DIA,2026-09-02,21:20,2D,doblada,145,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001843?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/spider-man-un-nuevo-dia,"Han pasado cuatro años desde los acontecimientos de No Way Home, y Peter es ahora un adulto que vive completamente solo, habiéndose borrado voluntariamente de las vidas y recuerdos de aquellos a quienes ama. Lucha contra el crimen en un Nueva York que ya no conoce su nombre, se ha dedicado por completo a proteger su ciudad -un Spider-Man de tiempo completo- pero a medida que las exigencias sobre él se intensifican, la presión desata una sorprendente evolución física que amenaza su existencia, aun cuando un nuevo y extraño patrón de crímenes da lugar a una de las amenazas más poderosas que jamás haya enfrentado.",https://www.youtube.com/watch?v=3B1_P2h7v2k,ACCION,
Cineplanet Alameda,LA GUERRA DE LOS ÚLTIMOS,2026-09-02,21:30,2D,doblada,118,,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001869?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/la-guerra-de-los-ltimos,"En un mundo postapocalíptico, un virus aniquila a prácticamente toda la humanidad. Los supervivientes se enfrentan a unos carroñeros errantes llamados ""Segadores"". El protagonista, Hig, un piloto, sobrevivió a la gripe pero perdió a su mujer. Adaptación de la aclamada novela ""La constelación del perro"", de Peter Heller.",https://www.youtube.com/watch?v=JZHY6oGCO58,CIENCIA FICCION,
Cineplanet Alameda,EL FINAL DE LA CALLE OAK,2026-09-02,21:40,2D,doblada,99,+14,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001856?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/el-final-de-la-calle-oak,"Después de que un misterioso fenómeno cósmico arranque Oak Street de su entorno suburbano y transporte a sus habitantes a un lugar desconocido, la familia Platt pronto descubre que su propia supervivencia depende de que permanezcan unidos mientras se orientan en un entorno que ya no reconocen.",https://www.youtube.com/watch?v=kdrry0xfHzA,CIENCIA FICCION,
Cineplanet Alameda,PAPI RICKY: LA PELÍCULA,2026-09-02,22:00,2D,doblada,104,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001900?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/papi-ricky-la-pelcula,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hípster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://youtu.be/Nr17OlZAkBc?si=FPiN8DOfV6jCR5MI,COMEDIA,
Cineplanet Costanera Center,TOY STORY 5,2026-09-01,17:50,2D,doblada,102,TE,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001810?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/toy-story-5,"Los juguetes están de vuelta. Esta vez, Buzz Lightyear, Woody, Jessie y el resto de la pandilla se enfrentan a un nuevo reto cuando conocen a Lilypad, una nueva tablet que llega con sus propias ideas disruptivas sobre lo que es mejor para Bonnie. ¿Volverá a ser lo mismo la hora de jugar?",https://www.youtube.com/watch?v=s_qpMMkvHYE,ANIMACION,
Cineplanet Costanera Center,COYOTE VS ACME,2026-09-01,18:00,2D,doblada,103,TE,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001852?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/coyote-vs-acme,"Después de que todos los productos fabricados por ACME Corporation le salgan mal a Wile E. Coyote, en su persecución del Correcaminos, contrata a un abogado humano igualmente desafortunado para demandar a la empresa. Cuando el abogado de Wile E. descubre que el intimidante jefe de su antiguo bufete es el director general de ACME, se une a Wile E. para ganar el juicio contra él.",https://www.youtube.com/watch?v=V_ueAlyvn6A,FAMILIAR,
Cineplanet Costanera Center,SPIDER-MAN: UN NUEVO DIA,2026-09-01,18:20,2D,subtitulada,145,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001843?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/spider-man-un-nuevo-dia,"Han pasado cuatro años desde los acontecimientos de No Way Home, y Peter es ahora un adulto que vive completamente solo, habiéndose borrado voluntariamente de las vidas y recuerdos de aquellos a quienes ama. Lucha contra el crimen en un Nueva York que ya no conoce su nombre, se ha dedicado por completo a proteger su ciudad -un Spider-Man de tiempo completo- pero a medida que las exigencias sobre él se intensifican, la presión desata una sorprendente evolución física que amenaza su existencia, aun cuando un nuevo y extraño patrón de crímenes da lugar a una de las amenazas más poderosas que jamás haya enfrentado.",https://www.youtube.com/watch?v=3B1_P2h7v2k,ACCION,
Cineplanet Costanera Center,JUAN GABRIEL: MI PRIMER BELLAS ARTES,2026-09-01,18:30,2D,doblada,110,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001883?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/juan-gabriel-mi-primer-bellas-artes,"*Versión Sing Along* El concierto más icónico de México llega a la pantalla grande. A partir del 28 de agosto, con motivo del 10.º aniversario luctuoso de Juan Gabriel, disfruta del histórico primer concierto de Juan Gabriel en el Palacio de Bellas Artes en 1990, una noche que transformó para siempre la música en México. Más de tres décadas después, esta presentación legendaria revive en una nueva reedición especial para cines con imagen y audio restaurados, donde cada interpretación, cada aplauso y cada instante recuperan su esplendor para que nuevas generaciones y admiradores de siempre puedan disfrutar de este acontecimiento con una calidad nunca antes vista. Celebra el legado de Juan Gabriel y revive el espectáculo que marcó un antes y un después en la historia de la música mexicana, ahora como una experiencia cinematográfica única e inolvidable.",https://www.youtube.com/watch?v=zq9V3eaio2Y,CONCIERTO,
Cineplanet Costanera Center,COYOTE VS ACME,2026-09-01,19:00,"2D, PRIME",subtitulada,103,TE,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001852?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/coyote-vs-acme,"Después de que todos los productos fabricados por ACME Corporation le salgan mal a Wile E. Coyote, en su persecución del Correcaminos, contrata a un abogado humano igualmente desafortunado para demandar a la empresa. Cuando el abogado de Wile E. descubre que el intimidante jefe de su antiguo bufete es el director general de ACME, se une a Wile E. para ganar el juicio contra él.",https://www.youtube.com/watch?v=V_ueAlyvn6A,FAMILIAR,
Cineplanet Costanera Center,LA NOCHE DEL DEMONIO: ESTÁN ENTRE NOSOTROS,2026-09-01,19:10,"2D, XTREME",doblada,106,+14,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001857?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/la-noche-del-demonio-estn-entre-nosotros,"Gemma, una joven madre que cría a su hija en la casa en la que creció, descubre que puede viajar a The Further, donde posee la capacidad de traer lo que allí vive de vuelta al mundo real.",https://www.youtube.com/watch?v=fuxeEUqCNac,TERROR,
Cineplanet Costanera Center,SPIDER-MAN: UN NUEVO DIA,2026-09-01,19:20,2D,doblada,145,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001843?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/spider-man-un-nuevo-dia,"Han pasado cuatro años desde los acontecimientos de No Way Home, y Peter es ahora un adulto que vive completamente solo, habiéndose borrado voluntariamente de las vidas y recuerdos de aquellos a quienes ama. Lucha contra el crimen en un Nueva York que ya no conoce su nombre, se ha dedicado por completo a proteger su ciudad -un Spider-Man de tiempo completo- pero a medida que las exigencias sobre él se intensifican, la presión desata una sorprendente evolución física que amenaza su existencia, aun cuando un nuevo y extraño patrón de crímenes da lugar a una de las amenazas más poderosas que jamás haya enfrentado.",https://www.youtube.com/watch?v=3B1_P2h7v2k,ACCION,
Cineplanet Costanera Center,PAPI RICKY: LA PELÍCULA,2026-09-01,19:30,2D,doblada,104,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001900?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/papi-ricky-la-pelcula,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hípster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://youtu.be/Nr17OlZAkBc?si=FPiN8DOfV6jCR5MI,COMEDIA,
Cineplanet Costanera Center,PAPI RICKY: LA PELÍCULA,2026-09-01,20:00,"2D, PRIME",doblada,104,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001900?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/papi-ricky-la-pelcula,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hípster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://youtu.be/Nr17OlZAkBc?si=FPiN8DOfV6jCR5MI,COMEDIA,
Cineplanet Costanera Center,LA GUERRA DE LOS ÚLTIMOS,2026-09-01,20:10,2D,subtitulada,118,,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001869?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/la-guerra-de-los-ltimos,"En un mundo postapocalíptico, un virus aniquila a prácticamente toda la humanidad. Los supervivientes se enfrentan a unos carroñeros errantes llamados ""Segadores"". El protagonista, Hig, un piloto, sobrevivió a la gripe pero perdió a su mujer. Adaptación de la aclamada novela ""La constelación del perro"", de Peter Heller.",https://www.youtube.com/watch?v=JZHY6oGCO58,CIENCIA FICCION,
Cineplanet Costanera Center,COYOTE VS ACME,2026-09-01,20:20,2D,doblada,103,TE,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001852?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/coyote-vs-acme,"Después de que todos los productos fabricados por ACME Corporation le salgan mal a Wile E. Coyote, en su persecución del Correcaminos, contrata a un abogado humano igualmente desafortunado para demandar a la empresa. Cuando el abogado de Wile E. descubre que el intimidante jefe de su antiguo bufete es el director general de ACME, se une a Wile E. para ganar el juicio contra él.",https://www.youtube.com/watch?v=V_ueAlyvn6A,FAMILIAR,
Cineplanet Costanera Center,HARRY POTTER Y LA PIEDRA FILOSOFAL (2001),2026-09-01,20:40,2D,doblada,166,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001895?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/harry-potter-y-la-piedra-filosofal-2001,"El día en que cumple once años, Harry Potter se entera de que es hijo de dos destacados hechiceros, de los que ha heredado poderes mágicos. En la escuela Hogwarts de Magia y Hechicería, donde se educa con otros niños que también tienen poderes especiales, aprenderá todo lo necesario para ser mago.",,AVENTURA,
Cineplanet Costanera Center,JUAN GABRIEL: MI PRIMER BELLAS ARTES,2026-09-01,20:50,2D,doblada,110,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001883?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/juan-gabriel-mi-primer-bellas-artes,"*Versión Sing Along* El concierto más icónico de México llega a la pantalla grande. A partir del 28 de agosto, con motivo del 10.º aniversario luctuoso de Juan Gabriel, disfruta del histórico primer concierto de Juan Gabriel en el Palacio de Bellas Artes en 1990, una noche que transformó para siempre la música en México. Más de tres décadas después, esta presentación legendaria revive en una nueva reedición especial para cines con imagen y audio restaurados, donde cada interpretación, cada aplauso y cada instante recuperan su esplendor para que nuevas generaciones y admiradores de siempre puedan disfrutar de este acontecimiento con una calidad nunca antes vista. Celebra el legado de Juan Gabriel y revive el espectáculo que marcó un antes y un después en la historia de la música mexicana, ahora como una experiencia cinematográfica única e inolvidable.",https://www.youtube.com/watch?v=zq9V3eaio2Y,CONCIERTO,
Cineplanet Costanera Center,LA ODISEA,2026-09-01,21:10,2D,subtitulada,172,+14,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001834?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/la-odisea,"La siguiente película de Christopher Nolan, La Odisea, es una película de acción épica filmada alrededor del mundo usando nueva tecnología IMAX®. La película lleva la saga fundamental de Homero a las pantallas IMAX® por primera vez y estrena en cines en julio de 2026.",https://www.youtube.com/watch?v=8un_UztYsw0,ACCION,
Cineplanet Costanera Center,SPIDER-MAN: UN NUEVO DIA,2026-09-01,21:20,2D,subtitulada,145,TE +7,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001843?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/spider-man-un-nuevo-dia,"Han pasado cuatro años desde los acontecimientos de No Way Home, y Peter es ahora un adulto que vive completamente solo, habiéndose borrado voluntariamente de las vidas y recuerdos de aquellos a quienes ama. Lucha contra el crimen en un Nueva York que ya no conoce su nombre, se ha dedicado por completo a proteger su ciudad -un Spider-Man de tiempo completo- pero a medida que las exigencias sobre él se intensifican, la presión desata una sorprendente evolución física que amenaza su existencia, aun cuando un nuevo y extraño patrón de crímenes da lugar a una de las amenazas más poderosas que jamás haya enfrentado.",https://www.youtube.com/watch?v=3B1_P2h7v2k,ACCION,
Cineplanet Costanera Center,LA NOCHE DEL DEMONIO: ESTÁN ENTRE NOSOTROS,2026-09-01,21:30,"2D, XTREME",subtitulada,106,+14,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001857?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/la-noche-del-demonio-estn-entre-nosotros,"Gemma, una joven madre que cría a su hija en la casa en la que creció, descubre que puede viajar a The Further, donde posee la capacidad de traer lo que allí vive de vuelta al mundo real.",https://www.youtube.com/watch?v=fuxeEUqCNac,TERROR,
Cineplanet Costanera Center,LA ODISEA,2026-09-01,21:40,"2D, PRIME",subtitulada,172,+14,https://cdn.apis.cineplanet.cl/CDN/media/entity/get/FilmPosterGraphic/HO00001834?referenceScheme=HeadOffice&allowPlaceHolder=true,https://www.cineplanet.cl/peliculas/la-odisea,"La siguiente película de Christopher Nolan, La Odisea, es una película de acción épica filmada alrededor del mundo usando nueva tecnología IMAX®. La película lleva la saga fundamental de Homero a las pantallas IMAX® por primera vez y estrena en cines en julio de 2026.",https://www.youtube.com/watch?v=8un_UztYsw0,ACCION,
